gap, 40000, 80000, 120000, 160000 
2,0.028,0.05,0.077,0.105
4,0.023,0.047,0.073,0.113
6,0.022,0.046,0.072,0.118
8,0.028,0.046,0.071,0.098
10,0.022,0.046,0.07,0.098
12,0.027,0.054,0.072,0.097
14,0.026,0.046,0.071,0.098
16,0.023,0.047,0.073,0.099
18,0.023,0.048,0.1,0.1
20,0.024,0.049,0.075,0.102
22,0.024,0.049,0.076,0.108
24,0.024,0.05,0.077,0.104
26,0.026,0.051,0.078,0.104
28,0.026,0.052,0.08,0.107
30,0.026,0.053,0.081,0.109
32,0.041,0.054,0.082,0.14
34,0.027,0.078,0.084,0.114
36,0.027,0.056,0.086,0.116
38,0.027,0.056,0.087,0.165
40,0.028,0.058,0.088,0.12
42,0.03,0.058,0.091,0.121
44,0.034,0.061,0.117,0.124
46,0.033,0.082,0.095,0.19
48,0.031,0.069,0.096,0.136
50,0.036,0.062,0.117,0.13
52,0.033,0.065,0.098,0.131
54,0.032,0.065,0.099,0.158
56,0.035,0.066,0.1,0.165
58,0.033,0.068,0.101,0.138
60,0.034,0.07,0.103,0.14
62,0.033,0.07,0.105,0.168
64,0.034,0.07,0.108,0.144
66,0.035,0.073,0.108,0.147
68,0.035,0.072,0.109,0.149
70,0.036,0.075,0.111,0.151
72,0.037,0.075,0.113,0.153
74,0.037,0.077,0.115,0.195
76,0.038,0.078,0.117,0.156
78,0.038,0.097,0.144,0.159
80,0.04,0.08,0.12,0.189
82,0.039,0.107,0.147,0.182
84,0.04,0.082,0.124,0.188
86,0.041,0.084,0.153,0.169
88,0.041,0.084,0.128,0.172
90,0.041,0.085,0.129,0.174
92,0.042,0.087,0.131,0.175
94,0.042,0.089,0.134,0.207
96,0.043,0.09,0.135,0.21
98,0.044,0.09,0.163,0.182
100,0.043,0.091,0.14,0.184
